"laptop_ID","Company","Product","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price_euros"
176,"Lenovo","IdeaPad 320-15AST","Notebook","15.6","1366x768","AMD A6-Series 9220 2.9GHz","4GB","500GB HDD","AMD Radeon R4 Graphics","No OS","2.2kg",309
997,"Fujitsu","LifeBook A556","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","4GB","256GB SSD","Intel HD Graphics 520","Windows 10","2.3kg",649
995,"Toshiba","Portege Z30-C-1CV","Notebook","13.3","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 7","1.2kg",1195
962,"Dell","Insprion 5767","Notebook","17.3","1600x900","Intel Core i3 6006U 2.0GHz","4GB","1TB HDD","AMD Radeon R7 M445","Windows 10","2.36kg",659
782,"Dell","Inspiron 7567","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.62kg",1099
730,"Lenovo","ThinkPad T470s","Ultrabook","14.0","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.32kg",1499
84,"HP","ProBook 440","Notebook","14.0","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.63kg",860
289,"Acer","Aspire A517-51G","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce MX150","Windows 10","3kg",951
74,"Dell","Inspiron 5570","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",870
220,"Dell","Inspiron 5370","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","1.4kg",931.88
143,"Acer","Aspire 5","Notebook","17.3","IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Nvidia GeForce MX130","Windows 10","3kg",655
453,"Acer","Aspire ES1-572","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Linux","2.4kg",441.8
184,"Dell","Inspiron 5570","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  2TB HDD","AMD Radeon 530","Linux","2.02kg",1049
71,"Asus","FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","1TB HDD","Nvidia GeForce GTX 1050 Ti","Linux","3kg",949
622,"Asus","FX753VD-GC007T (i7-7700HQ/8GB/1TB","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","3kg",1168
406,"Lenovo","Thinkpad X1","Ultrabook","14.0","IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz","16GB","1TB SSD","Intel HD Graphics 620","Windows 10","1.13kg",2625
1169,"HP","15-BA015wm (E2-7110/4GB/500GB/W10)","Notebook","15.6","1366x768","AMD E-Series 7110 1.8GHz","4GB","500GB HDD","AMD Radeon R2 Graphics","Windows 10","1.86kg",297
179,"Dell","Inspiron 3567","Notebook","15.6","1366x768","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.3kg",459
488,"Dell","Vostro 3568","Notebook","15.6","1366x768","Intel Core i3 7100U 2.4GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.18kg",586.6
966,"Toshiba","Portege Z30-C-1CW","Notebook","13.3","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.2kg",1460
1314,"HP","Stream 11-Y000na","Netbook","11.6","1366x768","Intel Celeron Dual Core N3060 1.6GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows 10","1.17kg",209
1288,"Lenovo","Yoga 500-14ISK","2 in 1 Convertible","14.0","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.8kg",638
340,"Asus","FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.5kg",999
93,"Acer","Aspire 5","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","1TB HDD","Nvidia GeForce MX150","Windows 10","2.2kg",689
24,"Dell","Inspiron 5379","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.62kg",819
454,"Dell","Precision 3520","Workstation","15.6","Full HD 1920x1080","Intel Xeon E3-1505M V6 3GHz","8GB","64GB Flash Storage +  1TB HDD","Nvidia Quadro M620","Windows 10","2.23kg",1993
393,"Dell","Precision 3510","Workstation","15.6","Full HD 1920x1080","Intel Core i5 6440HQ 2.6GHz","8GB","500GB HDD","AMD FirePro W5130M","Windows 10","2.23kg",1369
1240,"HP","15-bw009nv (A12-9720P/6GB/1TB/Radeon","Notebook","15.6","Full HD 1920x1080","AMD A12-Series 9720P 2.7GHz","6GB","1TB HDD","AMD Radeon 530","Windows 10","2.1kg",529
964,"HP","ZBook Studio","Workstation","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 6820HQ 2.7GHz","8GB","8GB SSD","Nvidia Quadro M1000M","Windows 10","2.0kg",2249
1068,"Dell","XPS 13","Ultrabook","13.3","Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7500U 2.7GHz","16GB","1TB SSD","Intel HD Graphics 620","Windows 10","1.2kg",2254
1156,"Lenovo","ThinkPad X1","2 in 1 Convertible","14.0","IPS Panel Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows 10","2.8kg",2440
51,"Lenovo","Yoga Book","2 in 1 Convertible","10.1","IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Android","0.69kg",319
1311,"Lenovo","IdeaPad Y700-15ISK","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","1TB HDD","Nvidia GeForce GTX 960M","Windows 10","2.6kg",899
1308,"Dell","Inspiron 3567","Notebook","15.6","1366x768","Intel Core i3 7100U 2.4GHz","6GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.3kg",459
219,"Huawei","MateBook X","Ultrabook","13.0","IPS Panel Full HD 2160x1440","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.05kg",1499
486,"Toshiba","Portege X30-D-10J","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.05kg",1672
1004,"HP","EliteBook Folio","Netbook","12.5","Full HD 1920x1080","Intel Core M 6Y75 1.2GHz","8GB","512GB SSD","Intel HD Graphics 515","Windows 10","0.97kg",1908
491,"Lenovo","ThinkPad E570","Notebook","15.6","1366x768","Intel Core i3 6006U 2.0GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","2.3kg",565
1027,"HP","EliteBook 840","Ultrabook","14.0","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.54kg",1887.21
293,"Lenovo","Legion Y520-15IKBN","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.5kg",1179
926,"HP","ProBook 450","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Windows 10","2.04kg",1018.99
1097,"Lenovo","Yoga Book","2 in 1 Convertible","10.1","IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Windows 10","0.69kg",646.27
1224,"HP","15-bs025nv (i5-7200U/8GB/256GB/W10)","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.91kg",579
876,"HP","Probook 450","Notebook","15.6","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.07kg",910
617,"Lenovo","Thinkpad P51","Notebook","15.6","IPS Panel 4K Ultra HD 3840x2160","Intel Xeon E3-1535M v6 3.1GHz","32GB","1TB SSD","Nvidia Quadro M2200M","Windows 10","2.5kg",4899
884,"Lenovo","Thinkpad 13","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","180GB SSD","Intel HD Graphics 620","Windows 10","1.44kg",735
807,"Lenovo","Yoga 910-13IKB","2 in 1 Convertible","13.9","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.38kg",1349
888,"Xiaomi","Mi Notebook","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.28kg",935
473,"Acer","Aspire 5","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Nvidia GeForce GTX 940MX","Windows 10","2.2kg",469
1035,"Toshiba","Portg Z30-C-16K","Ultrabook","13.3","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.2kg",1590
182,"Lenovo","V310-15IKB (i5-7200U/8GB/1TB","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","128GB SSD +  1TB HDD","AMD R17M-M1-70","Windows 10","1.90kg",813
657,"Lenovo","Thinkpad X270","Ultrabook","12.5","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",1584
860,"HP","250 G6","Notebook","15.6","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","128GB SSD","Intel HD Graphics 400","No OS","1.86kg",299
145,"Lenovo","Legion Y520-15IKBN","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050M","No OS","2.4kg",869
558,"Dell","Latitude 5580","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.9kg",1116.99
824,"Lenovo","Thinkpad T470s","Ultrabook","14.0","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.32kg",1859
763,"Asus","Pro P2540UA-XO0192R","Notebook","15.6","1366x768","Intel Core i7 7500U 2.7GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.37kg",849.9
732,"MSI","GL72M 7REX","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.7kg",1348.48
309,"Asus","GL553VE-FY082T (i7-7700HQ/8GB/1TB","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.5kg",1265
990,"Lenovo","ThinkPad T460","Notebook","14.0","1366x768","Intel Core i5 6200U 2.3GHz","4GB","508GB Hybrid","Intel HD Graphics 520","Windows 7","1.70kg",1002
411,"MSI","GE73VR 7RF","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","2.8kg",2249
238,"Dell","Vostro 5468","Notebook","14.0","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.6kg",859
874,"Lenovo","Legion Y520-15IKBN","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","No OS","2.5kg",1017
407,"Lenovo","IdeaPad 320-15IAP","Notebook","15.6","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","Windows 10","2.2kg",306
1163,"HP","ZBook Studio","Workstation","15.6","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia Quadro M1000M","Windows 7","2.0kg",1899
412,"Asus","Zenbook 3","Ultrabook","14.0","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.10kg",1873
578,"HP","14-am079na (N3710/8GB/2TB/W10)","Notebook","14.0","1366x768","Intel Pentium Quad Core N3710 1.6GHz","8GB","2TB HDD","Intel HD Graphics 405","Windows 10","1.94kg",389
168,"Acer","Aspire A315-31","Notebook","15.6","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","Windows 10","2.1kg",348
1147,"Asus","L403NA-GA013TS (N3350/4GB/32GB/W10)","Notebook","14.0","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.5kg",278
1222,"Asus","FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce","Gaming","15.6","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.2kg",1169
568,"Lenovo","V330-15IKB (i3-7130U/4GB/128GB/FHD/W10)","Notebook","15.6","Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","2.05kg",630
1162,"HP","Spectre Pro","2 in 1 Convertible","13.3","Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.48kg",1799
343,"HP","Elitebook 850","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.84kg",1144
1201,"Acer","Aspire 3","Notebook","15.6","1366x768","Intel Celeron Dual Core N3350 2GHz","4GB","500GB HDD","Intel HD Graphics 500","Windows 10","2.1kg",333
900,"Lenovo","IdeaPad 110-17ACL","Notebook","17.3","1600x900","AMD A4-Series 7210 2.2GHz","4GB","500GB HDD","AMD Radeon R3","Windows 10","2.8kg",379
300,"Lenovo","Legion Y720-15IKB","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1060","Windows 10","3.2kg",1299
23,"HP","255 G6","Notebook","15.6","1366x768","AMD E-Series E2-9000e 1.5GHz","4GB","500GB HDD","AMD Radeon R2","No OS","1.86kg",258
703,"Acer","TravelMate B117-M","Netbook","11.6","1366x768","Intel Celeron Dual Core N3050 1.6GHz","4GB","32GB Flash Storage","Intel HD Graphics","Windows 10","1.4kg",269
831,"Lenovo","Thinkpad X1","Ultrabook","14.0","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.13kg",2499
190,"Dell","XPS 15","Notebook","15.6","4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.06kg",2397
389,"Lenovo","IdeaPad 720S-14IKB","Notebook","14.0","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.5kg",1099
367,"Asus","Zenbook UX410UA-GV027T","Notebook","14.0","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2kg",945
654,"Acer","Swift 3","Ultrabook","14.0","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel Graphics 620","Windows 10","1.8kg",919
540,"Mediacom","SmartBook Edge","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Celeron Quad Core N3450 1.1GHz","4GB","32GB SSD","Intel HD Graphics 500","Windows 10","1.2kg",369
280,"Dell","Inspiron 5567","Notebook","15.6","1366x768","Intel Core i7 7500U 2.7GHz","12GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.3kg",713.07
41,"Asus","X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 620","Linux","2kg",389
447,"Lenovo","IdeaPad 320-15AST","Notebook","17.3","1600x900","AMD A6-Series 9220 2.5GHz","8GB","1TB HDD","AMD Radeon R4","Windows 10","2.8kg",519
1317,"Lenovo","Yoga 900-13ISK","2 in 1 Convertible","13.3","IPS Panel Quad HD+ / Touchscreen 3200x1800","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.3kg",1499
810,"Asus","Pro P2540UA-XS51","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.37kg",1099
47,"Lenovo","IdeaPad 320-15ISK","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","No OS","2.2kg",369
129,"HP","Probook 440","Notebook","14.0","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows 10","1.63kg",812
869,"Dell","Inspiron 5368","Notebook","13.3","Full HD / Touchscreen 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","1TB HDD","Intel HD Graphics 520","Windows 10","1.62kg",649
1312,"HP","Pavilion 15-AW003nv","Notebook","15.6","Full HD 1920x1080","AMD A9-Series 9410 2.9GHz","6GB","1.0TB Hybrid","AMD Radeon R7 M440","Windows 10","2.04kg",549.99
201,"HP","ProBook 430","Notebook","13.3","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.49kg",959
196,"Xiaomi","Mi Notebook","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce MX150","No OS","1.3kg",999.9
800,"Vero","K146 (N3350/4GB/32GB/W10)","Notebook","14.0","1920x1080","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.22kg",202.9
832,"MSI","GL62M 7RD","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.4kg",1199
565,"HP","15-bw007nv (A10-9620P/6GB/128GB/Radeon","Notebook","15.6","IPS Panel Full HD 1920x1080","AMD A10-Series A10-9620P 2.5GHz","6GB","128GB SSD","AMD Radeon 530","Windows 10","1.91kg",568.9
1255,"Dell","Vostro 3559","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 7","2.24kg",737
1087,"HP","EliteBook 820","Ultrabook","12.5","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.26kg",1199
215,"Acer","Aspire 7","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Linux","2.4kg",779
319,"Asus","VivoBook Flip","2 in 1 Convertible","11.6","Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz","2GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.1kg",275
583,"Toshiba","Tecra X40-D-10H","Ultrabook","14.0","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.24kg",1865
291,"Lenovo","Thinkpad T570","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 630","Windows 10","1.95kg",1097
950,"Dell","Vostro 3568","Notebook","15.6","1366x768","Intel Core i3 6006U 2.0GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","2.18kg",558.6
446,"Asus","VivoBook Max","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Linux","2kg",559
102,"HP","Omen 15-ce007nv","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.62kg",1249
14,"Dell","Inspiron 3567","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 M430","Windows 10","2.2kg",498.9
303,"Lenovo","IdeaPad 310-15ABR","Notebook","15.6","Full HD 1920x1080","AMD A10-Series 9600P 2.4GHz","6GB","1TB HDD","AMD Radeon R5 430","Windows 10","2.4kg",499
542,"Dell","Latitude 5580","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7600U 2.8GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Windows 10","1.93kg",1369
913,"Asus","G701VO-IH74K (i7-6820HK/32GB/2x","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","32GB","256GB SSD +  256GB SSD","Nvidia GeForce GTX 980M","Windows 10","3.58kg",1279
784,"Asus","Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce","2 in 1 Convertible","15.6","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","12GB","2TB HDD","Nvidia GeForce 940MX","Windows 10","2.3kg",839
738,"Acer","Predator 17","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","4.2kg",1935
618,"Dell","Inspiron 7559","Gaming","15.6","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","1TB HDD","Nvidia GeForce GTX 960<U+039C>","Windows 10","2.59kg",879.01
858,"HP","EliteBook x360","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.28kg",2277
952,"Dell","Latitude 7480","Ultrabook","14.0","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",1639
973,"Acer","Chromebook C738T-C2EJ","2 in 1 Convertible","11.6","IPS Panel Touchscreen 1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","32GB Flash Storage","Intel HD Graphics 400","Chrome OS","1.25kg",389
1118,"HP","ZBook 17","Workstation","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","1TB HDD","AMD FirePro W6150M","Windows 7","3.0kg",2899
142,"HP","Envy 13-AD007nv","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.32kg",699
667,"Dell","Alienware 17","Gaming","17.3","IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","32GB","512GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","4.42kg",3147.37
485,"Dell","Inspiron 3576","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","AMD Radeon 520","Windows 10","2.2kg",675
1120,"Dell","Latitude E5270","Ultrabook","12.5","1366x768","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.5kg",1413.1
1238,"Lenovo","Thinkpad T560","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 6600U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","2.3kg",1529
835,"Asus","ZenBook Flip","2 in 1 Convertible","13.3","Touchscreen / Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.1kg",1358
1319,"HP","15-AC110nv (i7-6500U/6GB/1TB/Radeon","Notebook","15.6","1366x768","Intel Core i7 6500U 2.5GHz","6GB","1TB HDD","AMD Radeon R5 M330","Windows 10","2.19kg",764
229,"Dell","Alienware 17","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","4.42kg",2456.34
290,"Acer","SP315-51 (i7-7500U/12GB/1TB/FHD/W10)","Notebook","15.6","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","12GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.15kg",659
469,"Asus","Pro P2540UA-AB51","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.37kg",749
902,"HP","Envy x360","2 in 1 Convertible","13.3","Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7500U 2.7GHz","16GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.42kg",1399
205,"Lenovo","V110-15ISK (i5-6200U/4GB/128GB/W10)","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","2.1kg",493
30,"HP","ProBook 470","Notebook","17.3","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Nvidia GeForce 930MX","Windows 10","2.5kg",896
855,"Dell","Vostro 3568","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","4GB","256GB SSD","AMD Radeon R5 M420","Windows 10","2.18kg",739
1080,"Dell","XPS 13","Ultrabook","13.3","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.29kg",1458
919,"Acer","Chromebook CB5-571-C1DZ","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Celeron Dual Core 3205U 1.5GHz","4GB","16GB Flash Storage","Intel HD Graphics","Chrome OS","2.20kg",359
867,"Asus","X541NA (N4200/4GB/1TB/W10)","Notebook","15.6","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Intel HD Graphics 505","Windows 10","2kg",449
374,"Dell","Inspiron 5567","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R7 M445","Windows 10","2.33kg",899
450,"Lenovo","IdeaPad 320-15IAP","Notebook","15.6","Full HD 1920x1080","Intel Pentium Quad Core N4200 1.1GHz","4GB","128GB SSD","Intel HD Graphics 505","Windows 10","2.2kg",349
